zcta10,puma10,pumaname,nameshort,per_in_puma,per_of_puma
11228,04013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights,Bay Ridge & Dyker Heights,0.604,0.207
11229,04016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest","Sheepshead Bay, Gerritsen Beach & Homecrest",0.981,0.531
11230,04015,NYC-Brooklyn Community District 14--Flatbush & Midwood,Flatbush & Midwood,0.756,0.412
11231,04005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook","Park Slope, Carroll Gardens & Red Hook",0.98,0.308
11232,04012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace,Sunset Park & Windsor Terrace,0.965,0.185
11233,04007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill,Brownsville & Ocean Hill,0.466,0.262
11234,04009,NYC-Brooklyn Community District 18--Canarsie & Flatlands,Canarsie & Flatlands,1,0.453
11235,04016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest","Sheepshead Bay, Gerritsen Beach & Homecrest",0.513,0.275
11236,04009,NYC-Brooklyn Community District 18--Canarsie & Flatlands,Canarsie & Flatlands,0.884,0.428
11237,04002,NYC-Brooklyn Community District 4--Bushwick,Bushwick,1,0.386
11238,04006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights,Crown Heights North & Prospect Heights,0.539,0.216
11239,04008,NYC-Brooklyn Community District 5--East New York & Starrett City,East New York & Starrett City,1,0.087
11425,04013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights,Bay Ridge & Dyker Heights,,0
10001,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",1,0.146
10002,03809,NYC-Manhattan Community District 3--Chinatown & Lower East Side,Chinatown & Lower East Side,1,0.494
10003,03809,NYC-Manhattan Community District 3--Chinatown & Lower East Side,Chinatown & Lower East Side,0.467,0.159
10004,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",1,0.021
10005,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",1,0.048
10006,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",1,0.02
10007,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",0.878,0.041
10009,03809,NYC-Manhattan Community District 3--Chinatown & Lower East Side,Chinatown & Lower East Side,0.73,0.272
10010,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",0.809,0.17
10011,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",0.77,0.271
10012,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",1,0.161
10013,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",0.812,0.151
10014,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",0.99,0.212
10016,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",0.905,0.325
10017,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",0.996,0.109
10018,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",1,0.036
